strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
MF289572	MF289572	2017-06-01	Singapore				10839			Chua et al	2017-06-09
ON022522	ON022522	2017-06-02	Brazil	Sudeste	Rio de Janeiro	Macaé	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022734	ON022734	2017-06-03	Brazil	Sudeste	Espírito Santo	Serra	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022604	ON022604	2017-06-04	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MF538786	MF538786	2017-06-05	Brazil	Sudeste	Rio de Janeiro	Guapimirim	11007	Non-human primate	marmoset	Bonaldo et al	2017-07-24
ON022735	ON022735	2017-06-06	Brazil	Sudeste	Rio de Janeiro	Guapimirim	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022605	ON022605	2017-06-14	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022382	ON022382	2017-07-03	Brazil	Sudeste	Minas Gerais	Além Paraíba	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022371	ON022371	2017-07-03	Brazil	Sudeste	Minas Gerais	São João del Rei	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022412	ON022412	2017-07-04	Brazil	Sudeste	Minas Gerais	São João del Rei	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022606	ON022606	2017-07-04	Brazil	Sudeste	São Paulo	Tuiuti	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022607	ON022607	2017-07-07	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022398	ON022398	2017-07-17	Brazil	Sudeste	Minas Gerais	Além Paraíba	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022610	ON022610	2017-07-17	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022635	ON022635	2017-07-20	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022706	ON022706	2017-07-27	Brazil	Sudeste	São Paulo	Jundiaí	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022708	ON022708	2017-08-03	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030050	MH030050	2017-08-16	Brazil	Sudeste	São Paulo	Louveira	10169	Non-human primate	Callicebus sp.	Souza et al	2018-03-06
MH030049	MH030049	2017-08-17	Brazil	Sudeste	São Paulo	Vinhedo	10169	Non-human primate	Callithrix sp.	Souza et al	2018-03-06
MH030053	MH030053	2017-08-30	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030052	MH030052	2017-09-01	Brazil	Sudeste	São Paulo	Louveira	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030051	MH030051	2017-09-01	Brazil	Sudeste	São Paulo	Louveira	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
ON022663	ON022663	2017-09-01	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
OP508715	OP508715	2017-09-03	Brazil				10802	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
ON022651	ON022651	2017-09-06	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030055	MH030055	2017-09-11	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030056	MH030056	2017-09-12	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030054	MH030054	2017-09-15	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030062	MH030062	2017-09-19	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
ON022648	ON022648	2017-09-20	Brazil	Sudeste	São Paulo	Itatiba	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022641	ON022641	2017-09-21	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022640	ON022640	2017-09-21	Brazil	Sudeste	São Paulo	Bragança Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH030059	MH030059	2017-09-21	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030061	MH030061	2017-09-21	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
ON022664	ON022664	2017-09-25	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022649	ON022649	2017-09-25	Brazil	Sudeste	São Paulo	Louveira	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MH030058	MH030058	2017-09-26	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030057	MH030057	2017-09-27	Brazil	Sudeste	São Paulo	Bragança Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030060	MH030060	2017-09-27	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030063	MH030063	2017-10-01	Brazil	Sudeste	São Paulo	Itatiba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030076	MH030076	2017-10-01	Brazil	Sudeste	São Paulo	Jarinu	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030075	MH030075	2017-10-01	Brazil	Sudeste	São Paulo	Jarinu	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030072	MH030072	2017-10-01	Brazil	Sudeste	São Paulo	Jarinu	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030077	MH030077	2017-10-01	Brazil	Sudeste	São Paulo	Jarinu	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030064	MH030064	2017-10-01	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030068	MH030068	2017-10-01	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030066	MH030066	2017-10-01	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030067	MH030067	2017-10-01	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030065	MH030065	2017-10-01	Brazil	Sudeste	São Paulo	Jundiaí	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030078	MH030078	2017-10-01	Brazil	Sudeste	São Paulo	Morungaba	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030069	MH030069	2017-10-01	Brazil	Sudeste	São Paulo	São Paulo	10169			Souza et al	2018-03-06
ON022638	ON022638	2017-10-13	Brazil	Sudeste	São Paulo	Jundiaí	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
MH030071	MH030071	2017-10-18	Brazil	Sudeste	São Paulo	Campo Limpo Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030074	MH030074	2017-10-18	Brazil	Sudeste	São Paulo	Jarinu	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030073	MH030073	2017-10-18	Brazil	Sudeste	São Paulo	Mairiporã	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MN643089	MN643089	2017-10-19	Brazil	Sudeste	Rio de Janeiro	Miguel Pereira	11007	Non-human primate	Alouatta guariba	Abreu et al	2019-11-04
MH030070	MH030070	2017-10-19	Brazil	Sudeste	São Paulo	Campo Limpo Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
ON022636	ON022636	2017-10-19	Brazil	Sudeste	São Paulo	Jundiaí	10172	Non-human primate	Callicebus	Hill et al	2022-03-16
ON022435	ON022435	2017-10-23	Brazil	Sudeste	Rio de Janeiro	Miguel Pereira	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022406	ON022406	2017-10-25	Brazil	Sudeste	Minas Gerais	Santana Do Deserto	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022645	ON022645	2017-10-25	Brazil	Sudeste	São Paulo	Itatiba	10172	Non-human primate	Cebus	Hill et al	2022-03-16
ON022425	ON022425	2017-10-26	Brazil	Sudeste	Minas Gerais	Sabará	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022405	ON022405	2017-10-27	Brazil	Sudeste	Minas Gerais	Sabará	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022644	ON022644	2017-10-27	Brazil	Sudeste	São Paulo	Itatiba	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022417	ON022417	2017-10-31	Brazil	Sudeste	Minas Gerais	Caeté	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
MH030081	MH030081	2017-11-01	Brazil	Sudeste	São Paulo	Campo Limpo Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030083	MH030083	2017-11-01	Brazil	Sudeste	São Paulo	Campo Limpo Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030082	MH030082	2017-11-01	Brazil	Sudeste	São Paulo	Campo Limpo Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030080	MH030080	2017-11-01	Brazil	Sudeste	São Paulo	Nazaré Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030079	MH030079	2017-11-01	Brazil	Sudeste	São Paulo	Nazaré Paulista	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030084	MH030084	2017-11-01	Brazil	Sudeste	São Paulo	Piracaia	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030086	MH030086	2017-11-01	Brazil	Sudeste	São Paulo	Piracaia	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
MH030085	MH030085	2017-11-01	Brazil	Sudeste	São Paulo	Piracaia	10169	Non-human primate	Alouatta sp.	Souza et al	2018-03-06
ON022419	ON022419	2017-11-05	Brazil	Sudeste	Minas Gerais	Casa Grande	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022665	ON022665	2017-11-06	Brazil	Sudeste	São Paulo	Bom Jesus dos Perdões	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022713	ON022713	2017-11-06	Brazil	Sudeste	São Paulo	Jundiaí	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022402	ON022402	2017-11-07	Brazil	Sudeste	Minas Gerais	Casa Grande	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022403	ON022403	2017-11-07	Brazil	Sudeste	Minas Gerais	Congonhas	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022639	ON022639	2017-11-07	Brazil	Sudeste	São Paulo	Jundiaí	10172	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022634	ON022634	2017-11-07	Brazil	Sudeste	São Paulo	São Roque	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022413	ON022413	2017-11-08	Brazil	Sudeste	Minas Gerais	Mar de Espanha	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022378	ON022378	2017-11-09	Brazil	Sudeste	Minas Gerais	Extrema	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022626	ON022626	2017-11-14	Brazil	Sudeste	São Paulo	São Roque	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022637	ON022637	2017-11-14	Brazil	Sudeste	São Paulo	São Roque	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022715	ON022715	2017-11-15	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022380	ON022380	2017-11-16	Brazil	Sudeste	Minas Gerais	Alvinópolis	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022372	ON022372	2017-11-17	Brazil	Sudeste	Minas Gerais	Entre Rios de Minas	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022373	ON022373	2017-11-18	Brazil	Sudeste	Minas Gerais	Esmeraldas	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022397	ON022397	2017-11-20	Brazil	Sudeste	Minas Gerais	Santana Do Deserto	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022385	ON022385	2017-11-24	Brazil	Sudeste	Minas Gerais	Nova Lima	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022391	ON022391	2017-11-25	Brazil	Sudeste	Minas Gerais	Madre de Deus de Minas	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022269	ON022269	2017-11-28	Brazil	Sudeste	Rio de Janeiro	Nova Iguaçu	10169	Non-human primate	Alouatta	Hill et al	2022-03-16
MK882617	MK882617	2017-11-28	Brazil	Sudeste	Rio de Janeiro	Nova Iguaçu	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
ON022650	ON022650	2017-11-28	Brazil	Sudeste	São Paulo	São Roque	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022423	ON022423	2017-11-29	Brazil	Sudeste	Minas Gerais	Belo Horizonte	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022404	ON022404	2017-11-30	Brazil	Sudeste	Minas Gerais	Madre de Deus de Minas	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022652	ON022652	2017-11-30	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022427	ON022427	2017-12-03	Brazil	Sudeste	Minas Gerais	Simão Pereira	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022387	ON022387	2017-12-04	Brazil	Sudeste	Minas Gerais	Matias Barbosa	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022654	ON022654	2017-12-04	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022653	ON022653	2017-12-04	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022411	ON022411	2017-12-05	Brazil	Sudeste	Minas Gerais	Belo Horizonte	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022431	ON022431	2017-12-05	Brazil	Sudeste	Minas Gerais	Belo Horizonte	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022393	ON022393	2017-12-05	Brazil	Sudeste	Minas Gerais	Mariana	10172	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022655	ON022655	2017-12-05	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022642	ON022642	2017-12-05	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022714	ON022714	2017-12-06	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022432	ON022432	2017-12-07	Brazil	Sudeste	Minas Gerais	Santo Antônio do Aventureiro	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022622	ON022622	2017-12-07	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022609	ON022609	2017-12-08	Brazil	Sudeste	São Paulo	São Roque	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022666	ON022666	2017-12-11	Brazil	Sudeste	São Paulo	Mairinque	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022629	ON022629	2017-12-12	Brazil	Sudeste	São Paulo	Cotia	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022627	ON022627	2017-12-12	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022628	ON022628	2017-12-12	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022420	ON022420	2017-12-13	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10172	Non-human primate	Alouatta caraya	Hill et al	2022-03-16
ON022623	ON022623	2017-12-13	Brazil	Sudeste	São Paulo	Igaratá	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022712	ON022712	2017-12-13	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022620	ON022620	2017-12-14	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022711	ON022711	2017-12-14	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022280	ON022280	2017-12-15	Brazil	Sudeste	Rio de Janeiro	Sumidouro	10169	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022710	ON022710	2017-12-16	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022707	ON022707	2017-12-16	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022624	ON022624	2017-12-17	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022264	ON022264	2017-12-18	Brazil	Sudeste	Minas Gerais	Belmiro Braga	10169	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022709	ON022709	2017-12-18	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MN506265	MN506265	2017-12-19	Brazil	Sudeste	Rio de Janeiro	Teresópolis	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
ON022570	ON022570	2017-12-19	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022625	ON022625	2017-12-19	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022571	ON022571	2017-12-20	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022667	ON022667	2017-12-20	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022632	ON022632	2017-12-20	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022424	ON022424	2017-12-21	Brazil	Sudeste	Minas Gerais	Piau	10172	Non-human primate	Alouatta guariba clamitans	Hill et al	2022-03-16
ON022631	ON022631	2017-12-21	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022630	ON022630	2017-12-21	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022567	ON022567	2017-12-21	Brazil	Sudeste	São Paulo	Vargem Grande Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022566	ON022566	2017-12-21	Brazil	Sudeste	São Paulo	Vargem Grande Paulista	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022281	ON022281	2017-12-22	Brazil	Sudeste	Rio de Janeiro	Sumidouro	10169	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022633	ON022633	2017-12-22	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022601	ON022601	2017-12-25	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022266	ON022266	2017-12-26	Brazil	Sudeste	Minas Gerais	Caeté	10169	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022363	ON022363	2017-12-26	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022362	ON022362	2017-12-26	Brazil	Sudeste	São Paulo	São Paulo	9478	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022359	ON022359	2017-12-26	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022353	ON022353	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022699	ON022699	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022356	ON022356	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022355	ON022355	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022357	ON022357	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022354	ON022354	2017-12-27	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022568	ON022568	2017-12-28	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022364	ON022364	2017-12-29	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022321	ON022321	2017-12-29	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022258	ON022258	2017-12-30	Brazil	Sudeste	Minas Gerais	Nova Lima	10169	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022525	ON022525	2017-XX-XX	Brazil	Sudeste	Espírito Santo	Conceição do Castelo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MH378284	MH378284	2017-XX-XX	Brazil				10172	Human	Homo sapiens	Zelena et al	2018-05-21
MG922934	MG922934	2017-XX-XX	Germany				10786	Human	Homo sapiens	Eisermann et al	2018-02-07
MF347613	MF347613	2017-XX-XX	Suriname				10212	Human	Homo sapiens	Oude Munnink et al	2017-06-13
ON022252	ON022252	2018-01-01	Brazil	Sudeste	Minas Gerais	Itatiaiuçu	10169	Non-human primate	Cebidae	Hill et al	2022-03-16
MK249066	MK249066	2018-01-01	Brazil				10164			Iani et al	2018-11-30
ON022241	ON022241	2018-01-02	Brazil	Sudeste	Minas Gerais	Juiz de Fora	9763	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022259	ON022259	2018-01-02	Brazil	Sudeste	Minas Gerais	Nova Lima	10169	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022565	ON022565	2018-01-02	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022341	ON022341	2018-01-02	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022360	ON022360	2018-01-02	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022358	ON022358	2018-01-03	Brazil	Sudeste	São Paulo	São Lourenço da Serra	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022697	ON022697	2018-01-03	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022254	ON022254	2018-01-04	Brazil	Sudeste	Minas Gerais	Brumadinho	10169	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022265	ON022265	2018-01-04	Brazil	Sudeste	Minas Gerais	Brumadinho	10169	Non-human primate	Callithrix penicillata	Hill et al	2022-03-16
ON022603	ON022603	2018-01-04	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022251	ON022251	2018-01-05	Brazil	Sudeste	Minas Gerais	Itabirito	10169	Non-human primate	Cebidae	Hill et al	2022-03-16
ON022240	ON022240	2018-01-05	Brazil	Sudeste	Minas Gerais	Juiz de Fora	10169	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022245	ON022245	2018-01-05	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022365	ON022365	2018-01-05	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022361	ON022361	2018-01-05	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022366	ON022366	2018-01-05	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022262	ON022262	2018-01-06	Brazil	Sudeste	Minas Gerais	Santa Bárbara	10169	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022272	ON022272	2018-01-06	Brazil	Sudeste	Rio de Janeiro	Teresópolis	9763	Human	Homo sapiens	Hill et al	2022-03-16
ON022670	ON022670	2018-01-06	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022569	ON022569	2018-01-06	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022671	ON022671	2018-01-06	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022322	ON022322	2018-01-07	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022672	ON022672	2018-01-07	Brazil	Sudeste	São Paulo	Itapecerica da Serra	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022257	ON022257	2018-01-08	Brazil	Sudeste	Minas Gerais	Nova Lima	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022243	ON022243	2018-01-08	Brazil	Sudeste	Minas Gerais	Piranga	10169	Non-human primate	Callithrix	Hill et al	2022-03-16
ON022320	ON022320	2018-01-08	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MK333798	MK333798	2018-01-08	Brazil	Sudeste	São Paulo	São Paulo	11007	Human	Homo sapiens	Pereira Ribeiro et al	2018-12-21
MK333799	MK333799	2018-01-08	Brazil	Sudeste	São Paulo	São Paulo	11007	Human	Homo sapiens	Pereira Ribeiro et al	2018-12-21
ON022246	ON022246	2018-01-09	Brazil	Sudeste	Minas Gerais	Mariana	10169	Human	Homo sapiens	Hill et al	2022-03-16
MN506266	MN506266	2018-01-09	Brazil	Sudeste	Rio de Janeiro	Nova Iguaçu	11007	Mosquito	Hg. janthinomys	Abreu et al	2019-09-23
MH193173	MH193173	2018-01-09	Brazil	Sudeste	São Paulo	Guarulhos	10169	Non-human primate	Alouatta sp.	Souza et al	2018-04-11
MH193174	MH193174	2018-01-09	Brazil	Sudeste	São Paulo	Mairiporã	10169	Human	Homo sapiens	Souza et al	2018-04-11
ON022263	ON022263	2018-01-10	Brazil	Sudeste	Minas Gerais	Belo Horizonte	10169	Human	Homo sapiens	Hill et al	2022-03-16
ON022323	ON022323	2018-01-10	Brazil	Sudeste	São Paulo	São Paulo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022279	ON022279	2018-01-11	Brazil	Sudeste	Rio de Janeiro	Valença	9763	Human	Homo sapiens	Hill et al	2022-03-16
